scenario,operator,error_ratio,repetition,candidate_set_sha256,evaluation_track,candidate_edge_count,retained_edge_count,temporal_qualification_rate,stability,lag_support,lag_std,edge_f1,shd,lag_mae,direction_accuracy,reference_metric_reason
deffuant,cross_hypothesis_group_relation,0.4,6,f476143fb03c2701f63fbfce6cf15227cc6662e9e45b9150637384d9264fcbab,full_discovery,39,20,0.5128205128205128,0.9549999999999998,0.8549999999999999,0.5561973011575004,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,7,58ed73c7a1dae558065388aa609c6d8a01d47b427893e0d072239c7be6f7c92e,full_discovery,39,19,0.48717948717948717,0.9456140350877192,0.6894736842105262,0.8264243541656482,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,8,650e0e77cc4774d740555b7b83b84449a9455e95e371d47c8e67ddce4a58105d,full_discovery,39,23,0.5897435897435898,0.9318840579710145,0.6797101449275362,0.8294471819735287,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,9,3f6265a387ad6a050f6f002e1854706978c0f9da6d1aeb15aa8a7accee7fdda7,full_discovery,39,21,0.5384615384615384,0.9206349206349206,0.6936507936507935,0.8855734532902788,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,10,d4894a25d290455b086deefaca404e38969dfa20aa5926667e9eea44d5d98db9,full_discovery,39,21,0.5384615384615384,0.9619047619047617,0.7666666666666667,0.7317592435919307,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,11,bb6462dca16359bebf619bc017c071c4dbc3def40f0b6b1990df0d4176ad6719,full_discovery,39,23,0.5897435897435898,0.9391304347826086,0.6971014492753626,0.7396132197563463,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,0,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.94375,0.7583333333333333,0.6714644168312556,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,1,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9333333333333333,0.7458333333333333,0.7017190959141307,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,2,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9437500000000001,0.7833333333333333,0.6613263004145165,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,3,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.95,0.7541666666666667,0.7803717346058408,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,4,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.96875,0.7625,0.7102546498301204,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,5,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9437500000000001,0.7541666666666667,0.7413873462279024,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,6,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9375,0.74375,0.7001020220941747,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,7,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9270833333333334,0.7375,0.751278198188816,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,8,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9333333333333333,0.75625,0.6480671045869714,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,9,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9375,0.7625,0.7407431450567383,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,10,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9395833333333333,0.7583333333333333,0.7802116845618863,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.0,11,e2a3872dc5639db1dd15decef31a67a3b8f5fe0b251b3d038962e5ca24eca24a,full_discovery,28,16,0.5714285714285714,0.9479166666666667,0.7625,0.6020590065487738,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,0,bd8de49fea6cce4524eac861652dc499d72dcfa3f47f5c4a0065544ebaabe494,full_discovery,25,16,0.64,0.9333333333333333,0.75,0.6936491388163144,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,1,f639a3c898fc4a4a53d9eb0743c977dc2c9945d537a07dc160be90e61682026e,full_discovery,25,14,0.56,0.9404761904761906,0.6904761904761905,0.6658530409962996,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,2,5e24703a5bec4950067e9731e9e547945006ee2b4e9a0e3496cbc0fbdec8ead7,full_discovery,25,14,0.56,0.9452380952380953,0.819047619047619,0.5076143303933665,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,3,451892ec4abe5a8c23cf0681fe190fc250c4229cffe4f45c723c0017e1fe31c0,full_discovery,25,15,0.6,0.9511111111111111,0.8044444444444444,0.530000080604358,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,4,3685b2b4524f2a13ef84ed4cf184a456efd08c5b05be0d7c8fc6278a765309f1,full_discovery,25,15,0.6,0.9511111111111111,0.7133333333333333,0.8004641738713734,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,5,c70842c704dc90fe170cbba05d23a94f980acbc6cfee609e1b0f7a5907818ea6,full_discovery,25,14,0.56,0.9523809523809526,0.7595238095238095,0.6999507617175479,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,6,05ab807b76d731d50123164df4863efd62ebd14490ab886bc2d7228596794102,full_discovery,25,16,0.64,0.9583333333333333,0.7520833333333333,0.5905825336015432,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,7,10e87da63a0e0d9a38cc691fee98f63ac578fd0012da9dcb16dca43919e8a2c7,full_discovery,25,16,0.64,0.9479166666666667,0.7333333333333334,0.6633904262310917,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,8,a730fd43406236c5ed6e30a2b172d03f77120497175ec4acf41e0dcf18334048,full_discovery,25,16,0.64,0.9479166666666667,0.7229166666666667,0.6932978219460253,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,9,b155fbf6f0b01563566cd6ec027cd58235a24a91d392da79f87799bdd4e68b2e,full_discovery,25,15,0.6,0.9377777777777779,0.6933333333333334,0.8604548756069791,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,10,d4a24ac63584857a7f5580d292acd8f37dae6c1eb0acdb167dc32bac464d1832,full_discovery,25,12,0.48,0.952777777777778,0.7416666666666667,0.5705815733118009,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.1,11,173a2c89af402e805b97a11cd68ac0c574989deabc3efce0e1ffd222b34b7fc4,full_discovery,25,14,0.56,0.9690476190476192,0.7761904761904761,0.691082492579639,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.2,0,61564baf76b39586b5ec0410041551c04053858047363f6e33981517b2b9521e,full_discovery,22,12,0.5454545454545454,0.9250000000000002,0.6277777777777779,0.7443253221903618,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.2,1,190bf6684d6c48bfcadd1fe52b7200414a8c183d8c7b7d8076c46d08854a3add,full_discovery,22,11,0.5,0.9303030303030304,0.6757575757575758,0.8074767359708868,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.2,2,4e063c7de8a01637a28aa9b81ed9ff07ef3e434673a07ea4b016a045a692ae12,full_discovery,22,13,0.5909090909090909,0.9461538461538463,0.7999999999999999,0.6766678940304371,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.2,3,28920601bda357eb30bd281827513b6eb6743a078884973afa69a847ccebd3be,full_discovery,22,14,0.6363636363636364,0.9190476190476192,0.619047619047619,1.017985577292489,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.2,4,6ea46ac133c2e5b3c6cf3eae401b7c4308ef2cd8919c5c7519a029ed263eba05,full_discovery,22,16,0.7272727272727273,0.9145833333333333,0.6958333333333333,0.7925541169548086,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.2,5,d7c8acf5838cf9d7a1d67b6c3bfed856ed98ee90dc10af891b7c65be76670f49,full_discovery,22,13,0.5909090909090909,0.9410256410256411,0.7461538461538461,0.5136269148671964,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,delete_candidate_relation,0.2,6,99f315a856feae396462044fb7be39f80dddfe6ee743f0456d9d40bafc8c720d,full_discovery,22,13,0.5909090909090909,0.9384615384615386,0.7153846153846154,0.7711928251815802,,,,,not_applicable_without_generated_to_hidden_alignment
