parameter	direction	node_id	evaluation_track	scenario	scale	baseline_sd	cumulative_effect_raw	cumulative_effect_standardised	cumulative_effect	cumulative_ci_low_raw	cumulative_ci_high_raw	cumulative_ci_low_standardised	cumulative_ci_high_standardised	ci_width	peak_time	onset_time	onset_ci_low	onset_ci_high	terminal_effect_standardised	significant	effect_sign	paired_seed_sign_consistency	paired	saved_significant	ci_excludes_zero	row	column	code	display_na	display_significance_dot
backfire_threshold	plus	micro_mean_abs_agent_shift	primary_discovery	deffuant	micro	0.005179132591381664	-0.0005838955862777933	-0.11274003435429032	-0.11274003435429032	-0.0010253051051527327	-0.00023331500950420382	-0.19796849898357338	-0.04504905124314671	0.15291944774042668	17	0	0.0	0.0	-0.06655195948332383	False	-1	0.75	True	False	True	3	7	Mi08	False	False
backfire_threshold	plus	micro_mean_abs_opinion	primary_discovery	deffuant	micro	0.061372898367936	-0.09519577337607561	-1.55110441102795	-1.55110441102795	-0.10379232255121597	-0.08778533464831696	-1.6911751817385539	-1.430359930567985	0.2608152511705688	119	4	3.0	4.0	-1.8609465222525585	True	-1	1.0	True	True	True	3	8	Mi09	False	True
backfire_threshold	plus	micro_mean_interaction_distance	primary_discovery	deffuant	micro	0.09393658525069876	-0.012640437153944126	-0.13456351559096189	-0.13456351559096189	-0.015495372532117586	-0.009751204062065682	-0.1649556718584501	-0.10380624371262362	0.06114942814582647	42	7	4.0	7.0	-0.032260864669426625	True	-1	0.9583333333333334	True	True	True	3	9	Mi10	False	True
backfire_threshold	plus	micro_median_opinion	primary_discovery	deffuant	micro	0.43596448285522904	-0.005668471825242344	-0.013002141339859262	-0.013002141339859262	-0.06843198562195019	0.07382101086524029	-0.15696688219593896	0.16932803879290798	0.32629492098884694	26	-1	23.0	93.10000000000002	0.021365504934241622	False	-1	0.5833333333333334	True	False	False	3	10	Mi11	False	False
backfire_threshold	plus	micro_opinion_p25	primary_discovery	deffuant	micro	0.07051284178506201	0.09812998718153391	1.391661216557613	1.391661216557613	0.08979177889162822	0.10776371641868043	1.2734102983018678	1.5282849717951652	0.2548746734932974	119	4	3.0	4.0	1.6534560485832455	True	1	1.0	True	True	True	3	11	Mi12	False	True
backfire_threshold	plus	micro_opinion_std	primary_discovery	deffuant	micro	0.054090584741157334	-0.0918553312501264	-1.6981759707292274	-1.6981759707292274	-0.09974763694500166	-0.08495884506475358	-1.8440850181659074	-1.5706771422662897	0.2734078758996177	119	4	3.0	4.0	-2.058197506987272	True	-1	1.0	True	True	True	3	12	Mi13	False	True
backfire_threshold	plus	micro_rejected_fraction	primary_discovery	deffuant	micro	0.01951843275680681	0.038872354497354496	1.991571504827827	1.991571504827827	0.032849371693121694	0.0454546130952381	1.682992282342233	2.328804451750173	0.6458121694079402	17	0	0.0	0.0	0.38395567186865703	True	1	1.0	True	True	True	3	13	Mi14	False	True
backfire_threshold	plus	micro_rewiring_fraction	primary_discovery	deffuant	micro	0.015323147913606642	0.0003191137566137566	0.020825600484505543	0.020825600484505543	2.438822751322803e-06	0.000677910052910053	0.00015915938194116996	0.04424091294635893	0.04408175356441776	21	-1	10.750000000000007	66.5	0.01463457028865837	False	1	0.6666666666666666	True	False	True	3	14	Mi15	False	False
backfire_threshold	plus	micro_sign_flip_fraction	primary_discovery	deffuant	micro	0.0016862515785484402	0.00034887566137566144	0.20689419408934265	0.20689419408934265	0.00018650793650793666	0.0005217013888888888	0.1106050478354401	0.3093852634599044	0.1987802156244643	27	-1	3.4750000000000103	19.0	0.0	False	1	0.7916666666666666	True	False	True	3	15	Mi16	False	False
backfire_threshold	plus	meso_neighborhood_abs_opinion_std	primary_discovery	deffuant	meso	0.033676928800425436	0.0022213421153771122	0.06596035311120918	0.06596035311120918	6.790398995345998e-05	0.004402095361372442	0.00201633558558351	0.13071546361783534	0.12869912803225184	46	-1	24.0	55.0	0.036327223475526645	False	1	0.8333333333333334	True	False	True	3	16	Me01	False	False
backfire_threshold	plus	meso_neighborhood_abs_opinion_variance	primary_discovery	deffuant	meso	0.0049005732730677655	0.0006468034002134102	0.13198525237201697	0.13198525237201697	0.00025200392954404454	0.0010382135520491352	0.05142335712619389	0.21185553081205374	0.16043217368585985	47	-1	8.0	61.549999999999955	0.13454720199044898	False	1	0.9166666666666666	True	False	True	3	17	Me02	False	False
backfire_threshold	plus	meso_neighborhood_agent_shift_std	primary_discovery	deffuant	meso	0.005749349796939266	-0.0003683267162882353	-0.06406406451114148	-0.06406406451114148	-0.0008980754530430814	5.307977269917632e-05	-0.1562046987506626	0.009232308795584843	0.16543700754624743	20	-1	2.0	75.47499999999997	-0.09275036168657669	False	-1	0.5	True	False	False	3	18	Me03	False	False
backfire_threshold	plus	meso_neighborhood_agent_shift_variance	primary_discovery	deffuant	meso	0.00014348419791139914	-2.912849526255087e-07	-0.002030083848016319	-0.002030083848016319	-9.416191424758734e-06	7.674915198842663e-06	-0.06562528530544662	0.05348961983661704	0.11911490514206366	20	-1	0.0	24.5	-0.020236120694776833	False	-1	0.4166666666666667	True	False	False	3	19	Me04	False	False
backfire_threshold	plus	meso_neighborhood_interaction_distance_std	primary_discovery	deffuant	meso	0.10350040939166666	-0.027106572655310357	-0.26189821677645314	-0.26189821677645314	-0.030692896704829116	-0.02325694062423958	-0.29654855362630433	-0.22470385152034109	0.07184470210596325	42	7	5.0	7.0	-0.10127027681990118	True	-1	1.0	True	True	True	3	20	Me05	False	True
backfire_threshold	plus	meso_neighborhood_interaction_distance_variance	primary_discovery	deffuant	meso	0.0433023837869502	-0.020545211368054088	-0.47445913068290907	-0.47445913068290907	-0.022361905259534232	-0.018604744732264793	-0.5164128000332701	-0.4296471257518069	0.08676567428146315	42	5	4.0	5.0	-0.19013079808403677	True	-1	1.0	True	True	True	3	21	Me06	False	True
backfire_threshold	plus	meso_neighborhood_opinion_std	primary_discovery	deffuant	meso	0.10815710020827826	-0.02538590665801003	-0.23471326994829153	-0.23471326994829153	-0.029111752610472122	-0.02124041030714318	-0.2691617337596106	-0.19638479828176325	0.07277693547784736	38	6	5.0	6.0	-0.056907440816986454	True	-1	1.0	True	True	True	3	22	Me07	False	True
backfire_threshold	plus	meso_neighborhood_opinion_variance	primary_discovery	deffuant	meso	0.046635383424417025	-0.020118730773780312	-0.43140485392142586	-0.43140485392142586	-0.022035060260722893	-0.018007002356640742	-0.4724966032805454	-0.38612317588907746	0.08637342739146792	38	4	4.0	4.0	-0.13201539440980062	True	-1	1.0	True	True	True	3	23	Me08	False	True
backfire_threshold	plus	macro_network_assortativity	primary_discovery	deffuant	macro	0.18270830261660898	-0.007726069255115708	-0.04228636107100136	-0.04228636107100136	-0.011572282732584016	-0.004260465968574752	-0.06333747600330476	-0.023318403748267633	0.04001907225503713	52	-1	44.050000000000004	67.3	-0.04836199831690426	False	-1	0.7916666666666666	True	False	True	3	24	Ma01	False	False
