scenario	operator	error_ratio	repetition	evaluation_track	candidate_edge_count	retained_edge_count	temporal_qualification_rate	stability
schelling	cross_hypothesis_group_relation	0.1	9	full_discovery	32	31	0.96875	0.964516129032258
schelling	cross_hypothesis_group_relation	0.1	10	full_discovery	32	31	0.96875	0.9591397849462366
schelling	cross_hypothesis_group_relation	0.1	11	full_discovery	32	30	0.9375	0.9711111111111111
schelling	cross_hypothesis_group_relation	0.2	0	full_discovery	35	31	0.8857142857142857	0.978494623655914
schelling	cross_hypothesis_group_relation	0.2	1	full_discovery	35	32	0.9142857142857144	0.9802083333333332
schelling	cross_hypothesis_group_relation	0.2	2	full_discovery	35	31	0.8857142857142857	0.9677419354838708
schelling	cross_hypothesis_group_relation	0.2	3	full_discovery	35	34	0.9714285714285714	0.9862745098039216
schelling	cross_hypothesis_group_relation	0.2	4	full_discovery	35	33	0.9428571428571428	0.9696969696969696
schelling	cross_hypothesis_group_relation	0.2	5	full_discovery	35	32	0.9142857142857144	0.9677083333333334
schelling	cross_hypothesis_group_relation	0.2	6	full_discovery	35	32	0.9142857142857144	0.9729166666666668
schelling	cross_hypothesis_group_relation	0.2	7	full_discovery	35	30	0.8571428571428571	0.9666666666666666
schelling	cross_hypothesis_group_relation	0.2	8	full_discovery	35	34	0.9714285714285714	0.9676470588235294
schelling	cross_hypothesis_group_relation	0.2	9	full_discovery	35	32	0.9142857142857144	0.9666666666666668
schelling	cross_hypothesis_group_relation	0.2	10	full_discovery	35	33	0.9428571428571428	0.9616161616161616
schelling	cross_hypothesis_group_relation	0.2	11	full_discovery	35	33	0.9428571428571428	0.9636363636363636
schelling	cross_hypothesis_group_relation	0.4	0	full_discovery	41	35	0.8536585365853658	0.9638095238095238
schelling	cross_hypothesis_group_relation	0.4	1	full_discovery	41	39	0.951219512195122	0.9717948717948718
schelling	cross_hypothesis_group_relation	0.4	2	full_discovery	41	34	0.8292682926829268	0.973529411764706
schelling	cross_hypothesis_group_relation	0.4	3	full_discovery	41	38	0.926829268292683	0.9771929824561404
schelling	cross_hypothesis_group_relation	0.4	4	full_discovery	41	34	0.8292682926829268	0.9558823529411764
schelling	cross_hypothesis_group_relation	0.4	5	full_discovery	41	35	0.8536585365853658	0.9657142857142856
schelling	cross_hypothesis_group_relation	0.4	6	full_discovery	41	39	0.951219512195122	0.9735042735042736
schelling	cross_hypothesis_group_relation	0.4	7	full_discovery	41	36	0.8780487804878049	0.9768518518518516
schelling	cross_hypothesis_group_relation	0.4	8	full_discovery	41	40	0.975609756097561	0.9733333333333334
schelling	cross_hypothesis_group_relation	0.4	9	full_discovery	41	38	0.926829268292683	0.9631578947368424
schelling	cross_hypothesis_group_relation	0.4	10	full_discovery	41	34	0.8292682926829268	0.9627450980392156
schelling	cross_hypothesis_group_relation	0.4	11	full_discovery	41	37	0.902439024390244	0.9702702702702702
schelling	delete_candidate_relation	0.0	0	full_discovery	29	28	0.9655172413793104	0.969047619047619
schelling	delete_candidate_relation	0.0	1	full_discovery	29	28	0.9655172413793104	0.975
schelling	delete_candidate_relation	0.0	2	full_discovery	29	28	0.9655172413793104	0.9702380952380952
schelling	delete_candidate_relation	0.0	3	full_discovery	29	28	0.9655172413793104	0.9678571428571427
schelling	delete_candidate_relation	0.0	4	full_discovery	29	28	0.9655172413793104	0.9654761904761904
schelling	delete_candidate_relation	0.0	5	full_discovery	29	28	0.9655172413793104	0.9642857142857144
schelling	delete_candidate_relation	0.0	6	full_discovery	29	28	0.9655172413793104	0.9761904761904762
schelling	delete_candidate_relation	0.0	7	full_discovery	29	27	0.9310344827586208	0.974074074074074
schelling	delete_candidate_relation	0.0	8	full_discovery	29	28	0.9655172413793104	0.9678571428571427
schelling	delete_candidate_relation	0.0	9	full_discovery	29	28	0.9655172413793104	0.9702380952380952
schelling	delete_candidate_relation	0.0	10	full_discovery	29	28	0.9655172413793104	0.9702380952380952
schelling	delete_candidate_relation	0.0	11	full_discovery	29	28	0.9655172413793104	0.9726190476190476
schelling	delete_candidate_relation	0.1	0	full_discovery	26	24	0.9230769230769232	0.975
schelling	delete_candidate_relation	0.1	1	full_discovery	26	24	0.9230769230769232	0.9763888888888892
schelling	delete_candidate_relation	0.1	2	full_discovery	26	25	0.9615384615384616	0.9666666666666668
schelling	delete_candidate_relation	0.1	3	full_discovery	26	25	0.9615384615384616	0.9733333333333332
schelling	delete_candidate_relation	0.1	4	full_discovery	26	25	0.9615384615384616	0.9693333333333334
schelling	delete_candidate_relation	0.1	5	full_discovery	26	23	0.8846153846153846	0.9739130434782608
schelling	delete_candidate_relation	0.1	6	full_discovery	26	25	0.9615384615384616	0.9786666666666668
schelling	delete_candidate_relation	0.1	7	full_discovery	26	24	0.9230769230769232	0.9847222222222222
schelling	delete_candidate_relation	0.1	8	full_discovery	26	25	0.9615384615384616	0.9773333333333334
schelling	delete_candidate_relation	0.1	9	full_discovery	26	23	0.8846153846153846	0.9869565217391304
