scenario,method,hypothesis_group_id,root_source,edge_source,edge_target,source,target,parameter,direction,manipulation_level,manipulation_success,source_significant,target_significant,propagation_order_supported,primary_class,underlying_class,intervention_scope,root_onset,source_onset,target_onset,intervention_delay,observational_lag,observational_beta,lag_difference,temporal_direction_concordant,lag_concordant,root_effect,source_effect,target_effect,not_applicable_reason
deffuant,full_method,macro_outcome_d_macro_2,d_micro_shift,d_micro_shift,d_meso_2,d_micro_shift,d_meso_2,assimilation_strength,minus,micro,False,False,False,False,manipulation_failure,manipulation_failure,direct_root,0,0,-1,,5,0.05887179845811759,,False,,-0.08623456846061121,-0.08623456846061121,0.011640455995777059,
deffuant,full_method,macro_outcome_d_macro_2,d_micro_shift,d_micro_shift,d_meso_2,d_micro_shift,d_meso_2,assimilation_strength,plus,micro,True,True,False,False,no_stable_downstream_effect,no_stable_downstream_effect,direct_root,0,0,-1,,5,0.05887179845811759,,False,,0.21271035514056394,0.21271035514056394,-0.006803611391688834,
deffuant,full_method,macro_outcome_d_macro_3,,d_meso_3,d_macro_3,d_meso_3,d_macro_3,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.24580405089196222,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,full_method,macro_outcome_d_macro_3,,d_micro_rewiring,d_meso_3,d_micro_rewiring,d_meso_3,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.2988648888877176,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_macro_0,s_meso_2,s_macro_0,s_meso_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,0.018923517708124095,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_macro_1,s_meso_2,s_macro_1,s_meso_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,2,-0.03788532118426057,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_macro_1,s_micro_satisfaction,s_macro_1,s_micro_satisfaction,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.007930518652390035,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_macro_2,s_micro_boundary,s_macro_2,s_micro_boundary,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,2,-0.013582705030353168,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_macro_2,s_micro_satisfaction,s_macro_2,s_micro_satisfaction,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.012588760178662377,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_macro_3,s_macro_2,s_macro_3,s_macro_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.0050969412179508455,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_macro_3,s_meso_1,s_macro_3,s_meso_1,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,4,-0.08621276284330659,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,s_micro_satisfaction,s_meso_0,s_macro_0,s_meso_0,s_macro_0,tolerance,minus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,2,1.0,2,0.4022214008711579,-1.0,True,True,-0.23785181381504725,-0.17556272684785434,-2.322718872317118,
schelling,unrestricted_temporal_search,unrestricted,s_micro_satisfaction,s_meso_0,s_macro_0,s_meso_0,s_macro_0,tolerance,plus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,3,2.0,2,0.4022214008711579,0.0,True,True,0.6810788178937784,0.49635395854959813,1.539334109892951,
schelling,unrestricted_temporal_search,unrestricted,,s_meso_0,s_macro_2,s_meso_0,s_macro_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,2,0.022292392707742886,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_meso_1,s_macro_0,s_meso_1,s_macro_0,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,2,0.02235243652921452,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,s_micro_relocation,s_meso_1,s_macro_1,s_meso_1,s_macro_1,move_probability,minus,micro,True,False,False,False,no_stable_downstream_effect,no_stable_downstream_effect,upstream_mediated,0,2,1,-1.0,3,0.1229181318891948,-4.0,True,False,0.30842417212350776,0.03269972733151367,0.03753944123722066,
schelling,unrestricted_temporal_search,unrestricted,s_micro_relocation,s_meso_1,s_macro_1,s_meso_1,s_macro_1,move_probability,plus,micro,True,False,False,False,no_stable_downstream_effect,no_stable_downstream_effect,upstream_mediated,0,2,1,-1.0,3,0.1229181318891948,-4.0,True,False,-0.2787196878892839,-0.03310194530203008,-0.04388920453880582,
schelling,unrestricted_temporal_search,unrestricted,,s_meso_1,s_micro_boundary,s_meso_1,s_micro_boundary,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.0034054902839673255,,,,,,,no_legal_upstream_micro_manipulation_root
