scenario,method,trajectory_count,repetition,temporal_qualification_rate,stability,lag_support,lag_std,stability_estimable,temporal_qualification_rate_ci_low,temporal_qualification_rate_ci_high,stability_ci_low,stability_ci_high
deffuant,full_method,16,9,0.5357142857142857,0.9177777777777778,0.6711111111111112,0.9308809375560656,True,0.5357142857142857,0.7857142857142857,0.7760984848484849,0.9034444444444445
deffuant,full_method,16,10,0.5357142857142857,0.9177777777777778,0.7333333333333333,0.7328684265703237,True,0.5517857142857143,0.7955357142857142,0.7692322291235334,0.8868080357142857
deffuant,full_method,16,11,0.5,0.9476190476190477,0.7904761904761904,0.8080394862647441,True,0.5160714285714285,0.7857142857142857,0.7773518518518518,0.9003576388888888
deffuant,full_method,20,0,0.5,0.9404761904761906,0.7857142857142857,0.7046848707312016,True,0.5,0.8312499999999999,0.7812301587301587,0.930766369047619
deffuant,full_method,20,1,0.6428571428571429,0.9351851851851853,0.7185185185185186,0.7327269358641425,True,0.6589285714285714,0.8571428571428571,0.8506249999999999,0.9277741228070173
deffuant,full_method,20,2,0.6071428571428571,0.919607843137255,0.715686274509804,0.8137370713846064,True,0.5,0.8053571428571428,0.79895202020202,0.9363055555555555
deffuant,full_method,20,3,0.5357142857142857,0.9377777777777779,0.691111111111111,0.6605623039514344,True,0.5,0.7857142857142857,0.7695833333333333,0.9495833333333334
deffuant,full_method,20,4,0.6428571428571429,0.8999999999999999,0.675925925925926,0.839731965262046,True,0.5874999999999999,0.8214285714285714,0.8103985507246376,0.9097777777777777
deffuant,full_method,20,5,0.5357142857142857,0.957777777777778,0.7444444444444446,0.7930370297610633,True,0.6071428571428571,0.7857142857142857,0.8221518759018759,0.923679193899782
deffuant,full_method,20,6,0.5714285714285714,0.9395833333333333,0.75625,0.7341595295288422,True,0.5973214285714286,0.7955357142857142,0.8054710144927535,0.9225122549019606
deffuant,full_method,20,7,0.5,0.930952380952381,0.7333333333333333,0.5995497827204498,True,0.5258928571428572,0.7857142857142857,0.8223684210526315,0.9162142857142856
deffuant,full_method,20,8,0.5357142857142857,0.9244444444444445,0.6911111111111111,0.8101094097980303,True,0.5616071428571429,0.75,0.8134126984126983,0.9042861519607842
deffuant,full_method,20,9,0.5714285714285714,0.9354166666666668,0.7291666666666667,0.6524555196089872,True,0.49017857142857146,0.8214285714285714,0.805643115942029,0.9442261904761904
deffuant,full_method,20,10,0.5357142857142857,0.9111111111111112,0.7355555555555556,0.7396702217912917,True,0.5,0.7857142857142857,0.8093055555555556,0.8981398809523808
deffuant,full_method,20,11,0.5714285714285714,0.9375,0.7416666666666667,0.773648380233021,True,0.5714285714285714,0.7955357142857142,0.8038405797101449,0.9062499999999999
deffuant,full_method,24,0,0.5357142857142857,0.9244444444444444,0.7488888888888888,0.7124686200707536,True,0.5616071428571429,0.7955357142857142,0.7920075757575755,0.9028692810457515
deffuant,full_method,24,1,0.5357142857142857,0.9466666666666668,0.7488888888888889,0.6802688892109552,True,0.5874999999999999,0.75,0.8121845238095237,0.9182875816993462
deffuant,full_method,24,2,0.5714285714285714,0.9375000000000001,0.7479166666666667,0.7143796308356793,True,0.5616071428571429,0.8410714285714285,0.8001202898550723,0.9363055555555555
deffuant,full_method,24,3,0.5714285714285714,0.9375,0.7208333333333333,0.6957467112894452,True,0.5874999999999999,0.8571428571428571,0.8110763888888888,0.9317254901960783
deffuant,full_method,24,4,0.5714285714285714,0.9479166666666667,0.7791666666666667,0.6108978828110183,True,0.5874999999999999,0.7696428571428571,0.8289742063492063,0.9331018518518518
deffuant,full_method,24,5,0.5357142857142857,0.9555555555555556,0.7444444444444444,0.7814153592465555,True,0.5714285714285714,0.7955357142857142,0.8204909420289854,0.9407291666666665
deffuant,full_method,24,6,0.5714285714285714,0.9375,0.7666666666666666,0.7165259292188966,True,0.5714285714285714,0.7857142857142857,0.8287083333333333,0.9134895833333332
deffuant,full_method,24,7,0.5714285714285714,0.9354166666666667,0.7541666666666667,0.7844228897430552,True,0.5973214285714286,0.8214285714285714,0.8327272727272726,0.9361979166666665
deffuant,full_method,24,8,0.5714285714285714,0.95625,0.7833333333333333,0.6428643981734526,True,0.5616071428571429,0.8053571428571428,0.8270328282828282,0.9485069444444444
deffuant,full_method,24,9,0.5714285714285714,0.94375,0.7604166666666667,0.6370785600305543,True,0.5973214285714286,0.7857142857142857,0.8589393939393938,0.9365686274509802
deffuant,full_method,24,10,0.5714285714285714,0.9354166666666667,0.7520833333333333,0.7394553529987741,True,0.5714285714285714,0.7857142857142857,0.792781746031746,0.9312499999999999
deffuant,full_method,24,11,0.5714285714285714,0.9333333333333333,0.7416666666666666,0.7456041509245168,True,0.5973214285714286,0.7955357142857142,0.8255681818181817,0.9176157407407406
deffuant,trajectory_vote,1,0,0.32142857142857145,,,,False,,,,
deffuant,trajectory_vote,1,1,0.35714285714285715,,,,False,,,,
deffuant,trajectory_vote,1,2,0.35714285714285715,,,,False,,,,
deffuant,trajectory_vote,1,3,0.25,,,,False,,,,
deffuant,trajectory_vote,1,4,0.14285714285714285,,,,False,,,,
deffuant,trajectory_vote,1,5,0.32142857142857145,,,,False,,,,
deffuant,trajectory_vote,1,6,0.14285714285714285,,,,False,,,,
deffuant,trajectory_vote,1,7,0.35714285714285715,,,,False,,,,
deffuant,trajectory_vote,1,8,0.25,,,,False,,,,
deffuant,trajectory_vote,1,9,0.35714285714285715,,,,False,,,,
deffuant,trajectory_vote,1,10,0.32142857142857145,,,,False,,,,
deffuant,trajectory_vote,1,11,0.35714285714285715,,,,False,,,,
deffuant,trajectory_vote,2,0,0.5357142857142857,0.6666666666666666,0.6,0.1885618083164127,True,,,,
deffuant,trajectory_vote,2,1,0.5,0.75,0.6071428571428571,0.6060915267313265,True,,,,
deffuant,trajectory_vote,2,2,0.42857142857142855,0.6666666666666666,0.5416666666666666,0.35355339059327373,True,,,,
deffuant,trajectory_vote,2,3,0.5,0.7857142857142857,0.6071428571428571,0.4040610178208844,True,,,,
deffuant,trajectory_vote,2,4,0.4642857142857143,0.7307692307692307,0.6923076923076923,0.05439282932204212,True,,,,
deffuant,trajectory_vote,2,5,0.4642857142857143,0.8076923076923077,0.6153846153846154,0.7614996105085898,True,,,,
deffuant,trajectory_vote,2,6,0.39285714285714285,0.6363636363636364,0.5,0.4499770425732576,True,,,,
deffuant,trajectory_vote,2,7,0.39285714285714285,0.7272727272727273,0.5454545454545454,0.5142594772265802,True,,,,
deffuant,trajectory_vote,2,8,0.5,0.6785714285714286,0.5357142857142857,0.30304576336566325,True,,,,
deffuant,trajectory_vote,2,9,0.2857142857142857,0.6875,0.5625,0.1767766952966369,True,,,,
deffuant,trajectory_vote,2,10,0.5714285714285714,0.53125,0.5,0.04419417382415922,True,,,,
deffuant,trajectory_vote,2,11,0.4642857142857143,0.7692307692307693,0.5384615384615384,0.7614996105085896,True,,,,
deffuant,trajectory_vote,4,0,0.42857142857142855,0.625,0.4583333333333333,1.0602708466835076,True,,,,
deffuant,trajectory_vote,4,1,0.39285714285714285,0.6818181818181818,0.36363636363636365,1.6711328837248716,True,,,,
deffuant,trajectory_vote,4,2,0.35714285714285715,0.65,0.4,0.8647661552068326,True,,,,
deffuant,trajectory_vote,4,3,0.42857142857142855,0.7291666666666666,0.4166666666666667,1.2464901810867153,True,,,,
deffuant,trajectory_vote,4,4,0.39285714285714285,0.6363636363636364,0.36363636363636365,0.9663704062053985,True,,,,
deffuant,trajectory_vote,4,5,0.39285714285714285,0.7045454545454546,0.4318181818181818,1.4491082083592977,True,,,,
deffuant,trajectory_vote,4,6,0.25,0.6071428571428571,0.4642857142857143,0.7793807781000679,True,,,,
deffuant,trajectory_vote,4,7,0.42857142857142855,0.7083333333333334,0.3541666666666667,1.3283024212567696,True,,,,
deffuant,trajectory_vote,4,8,0.42857142857142855,0.7083333333333334,0.4791666666666667,1.109138001482832,True,,,,
deffuant,trajectory_vote,4,9,0.42857142857142855,0.6666666666666666,0.3958333333333333,1.0986647349751193,True,,,,
deffuant,trajectory_vote,4,10,0.42857142857142855,0.6875,0.4166666666666667,1.5679661574931678,True,,,,
