evaluation_track,scenario,path_id,parameter,direction,source,meso,macro,node_id,scale,onset_time,onset_ci_low,onset_ci_high,observational_lag,response_delay,lag_difference,cumulative_effect,cumulative_effect_raw,significant
primary_discovery,schelling,move_minus_response_to_unhappy_std_to_global_unhappy,move_probability,minus,relocation_response_fraction,meso_district_unhappy_fraction_std,macro_global_unhappy_fraction,meso_district_unhappy_fraction_std,meso,15,1.0,11.0,1.0,15.0,14.0,1.0294166904980138,0.009602782956124097,True
primary_discovery,schelling,move_minus_response_to_unhappy_std_to_global_unhappy,move_probability,minus,relocation_response_fraction,meso_district_unhappy_fraction_std,macro_global_unhappy_fraction,macro_global_unhappy_fraction,macro,1,1.0,1.0,5.0,-14.0,-19.0,1.1792087584621544,0.028330539591315457,True
primary_discovery,schelling,move_minus_moved_to_boundary_std_to_components,move_probability,minus,moved_fraction,meso_district_boundary_fraction_std,macro_global_connected_components,moved_fraction,micro,0,0.0,0.0,,,,0.30842417212350776,0.0008329342273307789,True
primary_discovery,schelling,move_minus_moved_to_boundary_std_to_components,move_probability,minus,moved_fraction,meso_district_boundary_fraction_std,macro_global_connected_components,meso_district_boundary_fraction_std,meso,1,1.0,1.0,5.0,1.0,-4.0,-0.044960343039515245,-0.0010121440680054634,False
primary_discovery,schelling,move_minus_moved_to_boundary_std_to_components,move_probability,minus,moved_fraction,meso_district_boundary_fraction_std,macro_global_connected_components,macro_global_connected_components,macro,1,1.0,1.0,2.0,0.0,-2.0,1.1998703053374757,9.472988505747127,True
primary_discovery,schelling,move_plus_moved_to_neighbour_std_to_global_unhappy,move_probability,plus,moved_fraction,meso_district_neighbour_count_std,macro_global_unhappy_fraction,moved_fraction,micro,0,0.0,0.0,,,,-0.2787196878892839,-0.0007527139208173692,True
primary_discovery,schelling,move_plus_moved_to_neighbour_std_to_global_unhappy,move_probability,plus,moved_fraction,meso_district_neighbour_count_std,macro_global_unhappy_fraction,meso_district_neighbour_count_std,meso,-1,1.0,7.0,2.0,,,0.016940554406914873,0.0011403980724966855,False
primary_discovery,schelling,move_plus_moved_to_neighbour_std_to_global_unhappy,move_probability,plus,moved_fraction,meso_district_neighbour_count_std,macro_global_unhappy_fraction,macro_global_unhappy_fraction,macro,1,1.0,1.0,2.0,,,-0.4198371902882867,-0.01008660600255428,True
primary_discovery,schelling,dest_plus_dest_sim_to_dest_std_to_spatial_sim,destination_preference,plus,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,mean_destination_similarity_movers,micro,-1,0.0,19.0,,,,-0.03843998552837691,-0.014066232098682687,False
primary_discovery,schelling,dest_plus_dest_sim_to_dest_std_to_spatial_sim,destination_preference,plus,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,meso_district_destination_similarity_std,meso,-1,0.0,54.0,4.0,,,-0.063951601480493,-0.00016289001700597308,False
primary_discovery,schelling,dest_plus_dest_sim_to_dest_std_to_spatial_sim,destination_preference,plus,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,macro_global_spatial_neighbor_similarity,macro,1,1.0,1.0,1.0,,,0.11253615540440924,0.0031193930576844226,False
primary_discovery,schelling,dest_plus_dest_sim_to_boundary_std_to_global_unhappy,destination_preference,plus,mean_destination_similarity_movers,meso_district_boundary_fraction_std,macro_global_unhappy_fraction,mean_destination_similarity_movers,micro,-1,0.0,19.0,,,,-0.03843998552837691,-0.014066232098682687,False
primary_discovery,schelling,dest_plus_dest_sim_to_boundary_std_to_global_unhappy,destination_preference,plus,mean_destination_similarity_movers,meso_district_boundary_fraction_std,macro_global_unhappy_fraction,meso_district_boundary_fraction_std,meso,-1,1.0,24.0,1.0,,,-0.06888294387427304,-0.0015506879689023481,False
primary_discovery,schelling,dest_plus_dest_sim_to_boundary_std_to_global_unhappy,destination_preference,plus,mean_destination_similarity_movers,meso_district_boundary_fraction_std,macro_global_unhappy_fraction,macro_global_unhappy_fraction,macro,1,1.0,1.0,1.0,,,-0.1114504692614298,-0.0026776021711366533,False
primary_discovery,schelling,dest_plus_dest_sim_to_group_entropy_to_components,destination_preference,plus,mean_destination_similarity_movers,meso_district_group_entropy_mean,macro_global_connected_components,mean_destination_similarity_movers,micro,-1,0.0,19.0,,,,-0.03843998552837691,-0.014066232098682687,False
primary_discovery,schelling,dest_plus_dest_sim_to_group_entropy_to_components,destination_preference,plus,mean_destination_similarity_movers,meso_district_group_entropy_mean,macro_global_connected_components,meso_district_group_entropy_mean,meso,-1,9.0,76.17500000000001,1.0,,,0.08546036005427086,0.004099062047208054,False
primary_discovery,schelling,dest_plus_dest_sim_to_group_entropy_to_components,destination_preference,plus,mean_destination_similarity_movers,meso_district_group_entropy_mean,macro_global_connected_components,macro_global_connected_components,macro,4,1.0,4.0,1.0,,,-0.047935120795045076,-0.3784482758620689,False
primary_discovery,schelling,dest_minus_dest_sim_to_dest_std_to_global_unhappy,destination_preference,minus,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_unhappy_fraction,mean_destination_similarity_movers,micro,0,0.0,0.0,,,,0.2660373976867192,0.09735029114484033,True
primary_discovery,schelling,dest_minus_dest_sim_to_dest_std_to_global_unhappy,destination_preference,minus,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_unhappy_fraction,meso_district_destination_similarity_std,meso,37,0.0,21.0,4.0,37.0,33.0,0.3948835471921246,0.0010058010468607936,True
primary_discovery,schelling,dest_minus_dest_sim_to_dest_std_to_global_unhappy,destination_preference,minus,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_unhappy_fraction,macro_global_unhappy_fraction,macro,1,1.0,1.0,1.0,-36.0,-37.0,0.7223266216165585,0.017353927203065136,True
primary_discovery,schelling,dest_minus_dest_sim_to_move_std_to_components,destination_preference,minus,mean_destination_similarity_movers,meso_district_move_distance_std,macro_global_connected_components,mean_destination_similarity_movers,micro,0,0.0,0.0,,,,0.2660373976867192,0.09735029114484033,True
primary_discovery,schelling,dest_minus_dest_sim_to_move_std_to_components,destination_preference,minus,mean_destination_similarity_movers,meso_district_move_distance_std,macro_global_connected_components,meso_district_move_distance_std,meso,11,0.0,11.0,4.0,11.0,7.0,0.5645883599485648,0.0010063864601777015,True
primary_discovery,schelling,dest_minus_dest_sim_to_move_std_to_components,destination_preference,minus,mean_destination_similarity_movers,meso_district_move_distance_std,macro_global_connected_components,macro_global_connected_components,macro,1,1.0,1.0,1.0,-10.0,-11.0,0.684777040727394,5.4063218390804595,True
